inf0,ylag0,inf1,ylag1,inf2,ylag2,inf3,ylag3,abs
0.897131786,0.773110593,0.900434498,0.757540709,0.679590845,0.702183627,0.865831585,0.763476829,0.179590845
1.115867131,0.814708604,0.775345435,0.717633541,1.112512703,0.832809395,1.125278132,0.834304443,0.612512703
0.645706588,0.827711789,0.012045625,0.685693798,0.156865023,0.739393173,0.608166858,0.810822105,0.343134977
0.843852145,0.835141209,0.643469882,0.813681601,0.573609458,0.753134044,0.880343518,0.804439294,0.073609458
0.901546326,0.807760684,0.685281212,0.753300794,0.416096747,0.655594425,0.883258629,0.828340022,0.083903253
0.761785631,0.77712654,0.726809265,0.74506453,0.700261905,0.734734775,0.766860143,0.773235703,0.200261905
0.990826583,0.612405739,0.666105341,0.487940734,0.613893657,0.52874311,0.981127806,0.590519901,0.113893657
0.7388122,0.860929476,0.58251035,0.812574112,0.672917641,0.850164929,0.722566716,0.852691117,0.172917641
0.80328158,0.821023799,0.72875259,0.813939186,0.565858243,0.754028274,0.813325634,0.827073539,0.065858243
0.616373724,0.728576019,0.438509244,0.672721468,0.460802312,0.700011003,0.646582685,0.731118637,0.039197688
0.685410762,0.893341705,0.661449424,0.877264504,0.569073844,0.90110364,0.703778725,0.862126826,0.069073844
0.997240446,0.794079003,0.755353021,0.707577949,0.663405567,0.697542326,1.01898675,0.7909152,0.163405567
1.094869933,0.953998738,1.038419618,0.932404402,1.038059694,0.930040805,1.098335972,0.966590361,0.538059694
0.847733673,0.777186783,0.524599592,0.641094732,0.520328311,0.625176547,0.846935616,0.760972833,0.020328311
1.019317109,0.838486916,0.858521201,0.76466469,0.889336734,0.78289727,1.020519519,0.840140401,0.389336734
0.950893645,0.784931907,0.566653295,0.684938809,0.571973783,0.665083504,0.952677467,0.7889865,0.071973783
